pid,year,yearly_total,cumulative_amount
71,1994,1500.0,5500.0
71,1995,1000.0,6500.0
71,1996,5000.0,11500.0
72,1999,10000.0,10000.0
73,1999,4100.0,4100.0
73,2001,2050.0,6150.0
74,1999,2250.0,2250.0
74,2001,3130.0,5380.0
75,1999,980.0,980.0
77,2000,900.0,900.0
77,2001,3900.0,4800.0
77,2003,3100.0,7900.0
77,2004,3000.0,10900.0
77,2005,2000.0,12900.0
77,2006,2000.0,14900.0
77,2007,3000.0,17900.0
77,2008,24771.0,42671.0
77,2009,11152.0,53823.0
77,2010,7000.0,60823.0
77,2011,8266.0,69089.0
77,2012,6501.0,75590.0
77,2013,9891.0,85481.0
77,2014,12985.0,98466.0
77,2015,15714.0,114180.0
77,2016,16371.0,130551.0
77,2017,19778.0,150329.0
77,2018,22668.0,172997.0
77,2019,18503.0,191500.0
77,2020,18482.0,209982.0
77,2021,18676.0,228658.0
77,2022,35024.0,263682.0
77,2023,24690.0,288372.0
78,2000,10575.0,10575.0
78,2001,14500.0,25075.0
78,2002,21000.0,46075.0
78,2003,14200.0,60275.0
78,2004,29500.0,89775.0
78,2005,1056.0,90831.0
79,2000,41325.0,41325.0
79,2001,21263.0,62588.0
79,2002,20586.0,83174.0
79,2003,30698.0,113872.0
79,2004,31032.0,144904.0
80,2000,2566.0,2566.0
80,2001,3800.0,6366.0
80,2002,1100.0,7466.0
80,2003,2000.0,9466.0
80,2004,4950.0,14416.0
80,2005,3000.0,17416.0
80,2007,4000.0,21416.0
81,1999,1500.0,1500.0
81,2000,7100.0,8600.0
81,2001,16100.0,24700.0
81,2002,17460.0,42160.0
81,2003,7500.0,49660.0
81,2004,16428.0,66088.0
81,2005,27010.0,93098.0
81,2006,16851.0,109949.0
81,2007,10290.0,120239.0
81,2008,40880.0,161119.0
81,2009,41880.0,202999.0
81,2010,16600.0,219599.0
81,2011,12591.0,232190.0
81,2012,10561.0,242751.0
81,2013,26651.0,269402.0
81,2014,30848.0,300250.0
81,2015,20584.0,320834.0
81,2016,14543.0,335377.0
81,2017,57818.0,393195.0
81,2018,51595.0,444790.0
81,2019,35021.0,479811.0
81,2020,38174.0,517985.0
81,2021,33159.0,551144.0
81,2022,33945.0,585089.0
81,2023,34047.0,619136.0
81,2024,16782.0,635918.0
82,2000,1500.0,1500.0
82,2001,1500.0,3000.0
82,2003,2400.0,5400.0
82,2005,1329.0,6729.0
82,2006,2900.0,9629.0
82,2008,8043.0,17672.0
82,2009,4000.0,21672.0
82,2010,4000.0,25672.0
84,1999,4650.0,4650.0
84,2000,23675.0,28325.0
84,2001,7900.0,36225.0
84,2002,9000.0,45225.0
84,2003,11934.0,57159.0
84,2004,6550.0,63709.0
84,2005,17116.0,80825.0
84,2006,15830.0,96655.0
84,2007,17799.0,114454.0
84,2008,44723.0,159177.0
84,2009,38154.0,197331.0
84,2010,37430.0,234761.0
84,2011,36849.0,271610.0
84,2012,25828.0,297438.0
84,2013,26983.0,324421.0
84,2014,27287.0,351708.0
85,1999,1850.0,1850.0
85,2000,2200.0,4050.0
86,2000,4000.0,4000.0
87,1997,4932.0,4932.0
87,1998,4500.0,9432.0
87,1999,4300.0,13732.0
87,2001,2400.0,16132.0
88,1999,2100.0,2100.0
88,2000,8850.0,10950.0
88,2001,2500.0,13450.0
89,2000,1000.0,1000.0
89,2001,4700.0,5700.0
90,1998,1500.0,1500.0
90,1999,2000.0,3500.0
91,1998,3750.0,3750.0
91,1999,1700.0,5450.0
91,2001,1030.0,6480.0
92,1997,2000.0,2000.0
93,1995,1000.0,1000.0
93,2000,8383.0,9383.0
93,2001,7820.0,17203.0
93,2002,15000.0,32203.0
93,2003,6000.0,38203.0
93,2004,5900.0,44103.0
93,2005,10596.0,54699.0
93,2006,7396.0,62095.0
93,2007,8050.0,70145.0
93,2008,13000.0,83145.0
93,2009,5625.0,88770.0
93,2010,9400.0,98170.0
